stn,time,temperatur,sonne,niederschlag,tempdiff,datum,stunde,zeitperiode,namestn
TAE,2022-03-11 18:00:00,6.5857142857142845,11678.039999999997,0.0,-2.423809523809525,11 mars 2022,18,la soirée,Aadorf / Tänikon
COM,2022-03-11 18:00:00,4.4523809523809526,1987.27,0.0,-2.376190476190475,11 mars 2022,18,la soirée,Acquarossa / Comprovasco
ABO,2022-03-11 18:00:00,2.9904761904761905,8442.2,0.0,-0.40952380952380985,11 mars 2022,18,la soirée,Adelboden
AIG,2022-03-11 18:00:00,10.11904761904762,6648.0,0.0,-4.276190476190475,11 mars 2022,18,la soirée,Aigle
ALT,2022-03-11 18:00:00,8.466666666666667,12624.754999999997,0.0,-2.871428571428572,11 mars 2022,18,la soirée,Altdorf
ARH,2022-03-11 18:00:00,9.647619047619045,13622.105,0.0,3.6428571428571406,11 mars 2022,18,la soirée,Altenrhein
AND,2022-03-11 18:00:00,2.1904761904761907,10496.140000000001,0.0,-0.8047619047619041,11 mars 2022,18,la soirée,Andeer
ANT,2022-03-11 18:00:00,-1.0476190476190477,5577.64,0.0,-0.3571428571428572,11 mars 2022,18,la soirée,Andermatt
ARO,2022-03-11 18:00:00,-2.380952380952381,11755.439999999999,0.0,-0.7380952380952388,11 mars 2022,18,la soirée,Arosa
RAG,2022-03-11 18:00:00,7.342857142857143,12436.72,0.0,-2.447619047619046,11 mars 2022,18,la soirée,Bad Ragaz
BAN,2022-03-11 18:00:00,6.723809523809525,9359.445000000002,0.0,-2.171428571428569,11 mars 2022,18,la soirée,Bantiger
BAS,2022-03-11 18:00:00,9.895238095238097,12382.66,0.0,-1.9666666666666615,11 mars 2022,18,la soirée,Basel / Binningen
LAT,2022-03-11 18:00:00,0.09047619047619047,12134.095,0.0,-1.3095238095238093,11 mars 2022,18,la soirée,Bergün / Latsch
BER,2022-03-11 18:00:00,8.314285714285713,8612.04,0.0,-1.5952380952380967,11 mars 2022,18,la soirée,Bern / Zollikofen
BEZ,2022-03-11 18:00:00,7.942857142857143,12725.02,0.0,-2.0809523809523807,11 mars 2022,18,la soirée,Beznau
BIA,2022-03-11 18:00:00,6.633333333333333,5336.834999999998,0.0,-2.790476190476191,11 mars 2022,18,la soirée,Biasca
BIN,2022-03-11 18:00:00,-1.1904761904761902,1570.4949999999997,0.0,-0.714285714285714,11 mars 2022,18,la soirée,Binn
