namestn;stn
Aadorf / Tänikon;TAE
Aarberg;ABE
Acquarossa / Comprovasco;COM
Adelboden;ABO
Affoltern i. E.;AIE
Aigle;AIG
Airolo;AIR
Altdorf;ALT
Altenrhein;ARH
Altstätten SG;ALS
Amriswil;AMW
Andeer;AND
Andelfingen;AFI
Andermatt;ANT
Anzère;VSANZ
Appenzell;APP
Arolla;VSARO
Arosa;ARO
Attelwil;AGATT
Bad Ragaz;RAG
Baltschiedertal;VSBAS
Bantiger;BAN
Barmelweid;BAW
Barrage Grande Dixence;VSGDX
Basel / Binningen;BAS
Bellelay;BEY
Bellinzona;BLZ
Belp;BEP
Benken / Doggen;DOB
Bergün / Latsch;LAT
Bern / Zollikofen;BER
Bernina / Curtinatsch;BEC
Bex;BEX
Beznau;BEZ
Biasca;BIA
Binn;BIN
Bischofszell / Sitterdorf;BIZ
Bivio;BIV
Bière;BIE
Blatten Lötschental;BLA
Boltigen;BOL
Bosco/Gurin;BOS
Bourg-St-Pierre;VSBSP
Bouveret;BOU
Braunwald;BRW
Bricola;VSBRI
Brienz;BRZ
Brig;BRI
Bristen;BRT
Bruchji;VSBRU
Brusio;BRP
Buchs / Aarau;BUS
Buffalora;BUF
Bullet / La Frétaz;FRE
Bözberg;UBB
Bülach;BUE
Cevio;CEV
Cham;CHZ
Champéry;VSCHY
Chasseral;CHA
Chaumont;CHM
Choëx;VSCHO
Chur;CHU
Château-d'Oex;CHD
Cimetta;CIM
Clusanfe;VSCLU
Col des Mosses;CDM
Col du Grand St-Bernard;GSB
Coldrerio;COL
Cossonay;COS
Courtelary;COY
Couvet;COU
Crap Masegn;CMA
Cressier;CRM
Davos;DAV
Delémont;DEM
Derborence;VSDER
Dietikon;DIT
Disentis;DIS
Durnand;VSDUR
Ebnat-Kappel;EBK
Eggersriet;EGR
Eggishorn;EGH
Egolzwil;EGO
Ehrendingen;OED
Einsiedeln;EIN
Elm;ELM
Emosson;VSEMO
Engelberg;ENG
Entlebuch;ENT
Ergisch;VSERG
Eschenz;ESZ
Evionnaz;EVI
Evolène / Villa;EVO
Fahy;FAH
Faido;FAI
Fieschertal;FIT
Findelen;VSFIN
Fionnay;FIO
Flawil;FLW
Flühli LU;FLU
Fribourg / Grangeneuve;GRA
Frutigen;FRU
